robot_name,321321321312,Sol,TLClone Natr DOT L2,TLClone Natr ICP L,TLClone Natr XMR L2,Testt,aave,avax,bnb,inj
321321321312,1.0,0.003229353939501129,0.052271887125597175,0.007720206973145558,-0.0057027331965942545,0.019281861353656234,0.01115358987328471,0.014665083503687872,-0.0028232383802706262,0.1600041251635913
Sol,0.003229353939501129,1.0,0.0034778763760420907,-0.0008902402766399931,0.0012986671509107298,0.034475610688296084,0.04077910961646754,-0.004118848066028355,-0.0016512144140604823,0.0011225427326548908
TLClone Natr DOT L2,0.052271887125597175,0.0034778763760420907,1.0,0.003915121837383814,0.19827994053326686,0.026809363329394622,0.022307931199438833,0.010458359487403927,-0.001537666305848545,0.27674763753290604
TLClone Natr ICP L,0.007720206973145558,-0.0008902402766399931,0.003915121837383814,1.0,-0.008264943923028102,-0.000242288401751394,-0.011630485529808887,-0.008013908646270123,-0.004021389745360055,0.014970080847039168
TLClone Natr XMR L2,-0.0057027331965942545,0.0012986671509107298,0.19827994053326686,-0.008264943923028102,1.0,-0.01022605370590917,-0.010954848128591215,-0.011828221662274336,-0.004416114629877666,0.03228709821324353
Testt,0.019281861353656234,0.034475610688296084,0.026809363329394622,-0.000242288401751394,-0.01022605370590917,1.0,0.014925492736526514,0.006488131012732406,-0.005012574836884796,0.01755657641139376
aave,0.01115358987328471,0.04077910961646754,0.022307931199438833,-0.011630485529808887,-0.010954848128591215,0.014925492736526514,1.0,-0.0005439840469162583,-0.008258280660203515,0.012326288675318368
avax,0.014665083503687872,-0.004118848066028355,0.010458359487403927,-0.008013908646270123,-0.011828221662274336,0.006488131012732406,-0.0005439840469162583,1.0,-0.005851239526894862,-0.008483240018573888
bnb,-0.0028232383802706262,-0.0016512144140604823,-0.001537666305848545,-0.004021389745360055,-0.004416114629877666,-0.005012574836884796,-0.008258280660203515,-0.005851239526894862,1.0,-0.006091099206983547
inj,0.1600041251635913,0.0011225427326548908,0.27674763753290604,0.014970080847039168,0.03228709821324353,0.01755657641139376,0.012326288675318368,-0.008483240018573888,-0.006091099206983547,1.0
